Gender,Annual Income,Company,Model,Transmission,Color,Price ($),Body Style,Dealer_Region
Male,930000,Acura,TL,Auto,Black,28000,Hatchback,Austin
Male,480000,Nissan,Pathfinder,Auto,Pale White,46000,Hardtop,Greenville
Female,1360000,Ford,Mustang,Manual,Pale White,43000,Hatchback,Aurora
Male,2200000,Oldsmobile,Cutlass,Auto,Pale White,41000,Sedan,Aurora
Female,1100000,Chevrolet,Corvette,Auto,Pale White,45000,SUV,Greenville
Male,13500,Chevrolet,Impala,Manual,Pale White,22001,Hatchback,Pasco
Male,1700000,Volkswagen,Cabrio,Manual,Pale White,25001,Sedan,Janesville
Male,1908000,Dodge,Dakota,Manual,Pale White,12800,Sedan,Scottsdale
Male,13500,Chrysler,300M,Auto,Black,26000,SUV,Austin
Male,13500,BMW,328i,Auto,Black,18000,Sedan,Scottsdale
Male,2550000,Oldsmobile,Bravada,Auto,Pale White,19000,Hatchback,Austin
Male,1245000,Nissan,Maxima,Manual,Pale White,22500,Sedan,Middletown
Male,13500,Dodge,Ram Pickup,Manual,Pale White,21001,Hardtop,Austin
Male,1115000,Chrysler,Concorde,Auto,Pale White,46500,Hardtop,Aurora
Male,13500,Chrysler,300M,Auto,Pale White,16000,SUV,Pasco
Male,2110000,Volvo,V70,Auto,Black,39000,Passenger,Janesville
Female,13500,Nissan,Quest,Manual,Black,19000,SUV,Scottsdale
Male,1050000,Chrysler,LHS,Auto,Black,26000,Hatchback,Austin
Male,13500,Honda,Accord,Manual,Black,43000,Sedan,Janesville
Female,13500,Nissan,Maxima,Manual,Pale White,54000,Sedan,Scottsdale
Male,320000,Dodge,Durango,Auto,Pale White,22000,SUV,Austin
Male,13500,Lexus,ES300,Auto,Black,16001,SUV,Austin
Female,760000,BMW,328i,Auto,Black,16001,Sedan,Middletown
Male,1390000,Toyota,Land Cruiser,Auto,Pale White,12000,SUV,Greenville
Male,659000,Mercedes-B,SL-Class,Manual,Black,38000,Hardtop,Janesville
Male,1330000,Ford,Explorer,Auto,Pale White,42000,Hatchback,Middletown
Male,13500,Nissan,Pathfinder,Auto,Pale White,21000,Hatchback,Aurora
Female,13500,Volvo,C70,Auto,Black,49000,Hatchback,Janesville
Male,1362000,Chevrolet,Prizm,Manual,Pale White,21200,Hardtop,Pasco
Male,480000,Mercury,Grand Marquis,Manual,Pale White,71000,SUV,Middletown
Female,365000,Chevrolet,Camaro,Auto,Pale White,17000,Sedan,Aurora
Female,481000,Subaru,Outback,Auto,Pale White,57001,SUV,Aurora
Male,700000,Buick,Park Avenue,Auto,Pale White,62001,Hatchback,Greenville
Male,1350000,Ford,Taurus,Manual,Black,69001,SUV,Pasco
Male,750000,Chevrolet,Cavalier,Manual,Pale White,20001,SUV,Janesville
Male,451000,Audi,A4,Auto,Black,27000,Hardtop,Austin
Female,650000,Ford,Focus,Manual,Black,49000,Hardtop,Janesville
Male,700000,Mitsubishi,Diamante,Manual,Black,49000,Hatchback,Austin
Female,13500,Lexus,GS400,Auto,Black,12000,Hatchback,Middletown
Female,1220000,Mercedes-B,M-Class,Manual,Pale White,25000,Hatchback,Greenville
Male,1300000,Chrysler,Concorde,Auto,Pale White,42000,Hatchback,Pasco
Male,470000,Chrysler,Sebring Coupe,Auto,Pale White,19000,Sedan,Janesville
Female,1167500,Chevrolet,Monte Carlo,Manual,Pale White,26750,Hatchback,Scottsdale
Male,3000000,Cadillac,Eldorado,Auto,Pale White,31000,Passenger,Austin
Male,1900000,Saturn,LW,Manual,Pale White,49000,Hatchback,Middletown
Female,1690000,Hyundai,Sonata,Manual,Black,15000,SUV,Aurora
Male,2800000,Mercury,Sable,Auto,Pale White,26000,Sedan,Greenville
Male,642000,Mercedes-B,SL-Class,Manual,Pale White,17000,Hardtop,Greenville
Female,705000,Volvo,C70,Manual,Pale White,24000,Hatchback,Pasco
Male,670000,Chevrolet,Metro,Auto,Pale White,19000,Passenger,Janesville
Male,13500,Jaguar,S-Type,Manual,Pale White,20000,Passenger,Scottsdale
Female,1985000,Acura,TL,Auto,Black,28501,Hatchback,Scottsdale
Male,1275000,BMW,323i,Auto,Pale White,15500,Hatchback,Aurora
Male,13500,Plymouth,Voyager,Manual,Pale White,20000,Passenger,Austin
Male,1650000,Nissan,Maxima,Manual,Pale White,29000,Sedan,Pasco
Male,520500,Chrysler,Cirrus,Auto,Pale White,12500,Passenger,Austin
Female,500000,Mercury,Grand Marquis,Manual,Pale White,16001,SUV,Austin
Male,1172500,Lexus,ES300,Auto,Pale White,27250,SUV,Middletown
Male,441000,Dodge,Intrepid,Manual,Black,11000,Sedan,Aurora
Male,1310000,Nissan,Maxima,Manual,Pale White,22001,Sedan,Greenville
Male,13500,Dodge,Avenger,Auto,Pale White,22000,Passenger,Pasco
Male,1200000,Chevrolet,Corvette,Manual,Pale White,22000,SUV,Janesville
Male,1680000,Acura,RL,Manual,Black,18000,SUV,Greenville
Male,1340000,Honda,Odyssey,Manual,Pale White,27000,Passenger,Pasco
Female,901000,Oldsmobile,Intrigue,Manual,Pale White,25000,SUV,Janesville
Female,849500,Acura,RL,Manual,Pale White,26500,SUV,Scottsdale
Male,13500,Ford,Taurus,Manual,Black,69000,SUV,Austin
Female,1071500,Oldsmobile,Silhouette,Manual,Pale White,14150,Sedan,Middletown
Male,1740000,Saab,5-Sep,Manual,Pale White,28000,Hatchback,Janesville
Male,13500,Honda,Civic,Manual,Black,43000,Hatchback,Scottsdale
Male,1700000,BMW,528i,Manual,Pale White,25000,SUV,Austin
Male,1100000,Oldsmobile,Silhouette,Auto,Pale White,12000,Sedan,Middletown
Male,13500,Lexus,LS400,Auto,Black,39000,Sedan,Aurora
Male,2155000,Cadillac,Eldorado,Auto,Black,60500,Passenger,Greenville
Male,13500,Volkswagen,Jetta,Auto,Pale White,16000,Passenger,Janesville
Male,13500,Pontiac,Bonneville,Auto,Pale White,19000,Hatchback,Scottsdale
Male,661000,Chevrolet,Monte Carlo,Manual,Black,44000,Hatchback,Austin
Female,13500,Oldsmobile,Aurora,Manual,Pale White,71000,Passenger,Middletown
Male,13500,Ford,Mustang,Manual,Pale White,25000,Hatchback,Aurora
Male,2750000,Mitsubishi,Diamante,Auto,Black,18000,Hatchback,Greenville
Male,13500,Ford,Expedition,Manual,Pale White,22000,SUV,Middletown
Male,13500,Mercedes-B,M-Class,Manual,Pale White,41000,Hardtop,Middletown
Female,13500,Ford,Focus,Manual,Black,49000,Hardtop,Greenville
Male,950000,Volkswagen,Jetta,Auto,Pale White,19000,Passenger,Pasco
Female,715000,BMW,528i,Manual,Black,21000,SUV,Janesville
Female,13500,Subaru,Forester,Auto,Black,22000,Hardtop,Scottsdale
Female,847000,Plymouth,Breeze,Manual,Pale White,16000,SUV,Scottsdale
Female,13500,Volkswagen,Beetle,Auto,Pale White,45000,SUV,Austin
Male,1176500,Dodge,Intrepid,Manual,Black,11650,Sedan,Middletown
Male,955000,Hyundai,Elantra,Manual,Pale White,26000,Sedan,Aurora
Male,800000,Saturn,SW,Manual,Black,36000,Passenger,Aurora
Male,13500,Lincoln,Continental,Manual,Pale White,82000,Passenger,Greenville
Female,13500,Chevrolet,Camaro,Auto,Pale White,24000,Sedan,Pasco
Male,626800,Nissan,Pathfinder,Manual,Pale White,11800,Hardtop,Austin
Male,2115000,Toyota,RAV4,Auto,Pale White,27500,Hatchback,Pasco
Male,2810000,Mercury,Villager,Auto,Pale White,36000,Passenger,Janesville
Male,13500,Jaguar,S-Type,Manual,Pale White,20000,Passenger,Scottsdale
Male,13500,Mercedes-B,SLK,Manual,Pale White,17000,Passenger,Austin
Male,1589000,Volkswagen,Jetta,Auto,Pale White,16900,Passenger,Pasco
Male,1385000,Buick,Regal,Auto,Pale White,46500,Passenger,Janesville
Male,2000000,Mercedes-B,C-Class,Auto,Black,14000,Hatchback,Scottsdale
Male,951000,Toyota,Sienna,Manual,Black,16000,Passenger,Austin
Male,1390000,Volvo,S70,Manual,Black,22000,Hardtop,Austin
Male,2320000,Nissan,Altima,Auto,Pale White,20000,Hatchback,Middletown
Female,2752000,Toyota,Celica,Manual,Pale White,14200,SUV,Aurora
Male,655000,Saturn,LS,Auto,Pale White,51000,Sedan,Greenville
Male,890000,Mitsubishi,Diamante,Manual,Pale White,19000,Hatchback,Greenville
Male,1330000,Lexus,GS400,Auto,Pale White,31000,Hatchback,Pasco
Male,13500,Porsche,Carrera Cabrio,Auto,Pale White,32000,Passenger,Janesville
Male,900000,Dodge,Ram Van,Auto,Pale White,31000,Hatchback,Scottsdale
Male,570000,Oldsmobile,Silhouette,Manual,Pale White,14000,Sedan,Scottsdale
Male,715000,Audi,A6,Manual,Black,25000,SUV,Austin
Female,630000,Oldsmobile,Cutlass,Auto,Pale White,46000,Sedan,Janesville
Female,700500,Mercedes-B,S-Class,Auto,Black,39500,SUV,Scottsdale
Male,2130000,Mitsubishi,3000GT,Auto,Black,39000,Sedan,Middletown
Male,13500,BMW,528i,Auto,Black,31000,SUV,Aurora
Male,2950000,Chevrolet,Malibu,Manual,Pale White,41000,Hatchback,Greenville
Male,2150000,Chrysler,300M,Auto,Pale White,22000,SUV,Pasco
Female,1700000,Ford,Mustang,Manual,Black,22000,Hatchback,Middletown
Male,13500,Dodge,Viper,Auto,Pale White,41000,SUV,Aurora
Male,1540000,Jaguar,S-Type,Manual,Pale White,21000,Passenger,Greenville
Male,1300000,Mercedes-B,SLK,Manual,Black,26000,Passenger,Pasco
Male,960000,Mercedes-B,E-Class,Auto,Pale White,31000,Sedan,Pasco
Male,13500,Pontiac,Grand Am,Auto,Pale White,19000,SUV,Janesville
Male,1810000,Saturn,LW,Manual,Pale White,13000,Hatchback,Scottsdale
Male,1130000,Saturn,SC,Auto,Black,33000,Hardtop,Middletown
Male,1090000,Mercury,Sable,Manual,Pale White,61000,Sedan,Austin
Male,500000,Toyota,Land Cruiser,Auto,Black,21000,SUV,Middletown
Female,1700000,Nissan,Maxima,Manual,Pale White,16000,Sedan,Austin
Male,860000,Oldsmobile,Bravada,Auto,Pale White,15000,Hatchback,Middletown
Male,13500,Volkswagen,Passat,Manual,Pale White,27000,Hatchback,Janesville
Male,2035000,Volkswagen,Passat,Auto,Pale White,13500,Hatchback,Scottsdale
Male,1372500,Nissan,Xterra,Auto,Black,9250,Passenger,Janesville
Male,1800000,Ford,Mustang,Auto,Pale White,31000,Hatchback,Scottsdale
Male,1250000,Volkswagen,Passat,Auto,Pale White,32000,Hatchback,Middletown
Male,1175000,Volvo,S40,Auto,Pale White,29500,Sedan,Aurora
Male,1100000,Mercury,Villager,Manual,Pale White,14000,Passenger,Aurora
Male,1315000,Nissan,Frontier,Auto,Pale White,18501,Hatchback,Greenville
Female,480000,Acura,RL,Manual,Pale White,17001,SUV,Pasco
Female,423500,Mitsubishi,Montero Sport,Manual,Pale White,12500,SUV,Janesville
Female,13500,BMW,528i,Manual,Black,21000,SUV,Scottsdale
Male,13500,BMW,528i,Auto,Pale White,62000,SUV,Aurora
Male,653000,Ford,Crown Victoria,Auto,Black,11000,Passenger,Greenville
Male,13500,Nissan,Frontier,Manual,Pale White,20000,Hatchback,Pasco
Male,2862000,Honda,Accord,Auto,Pale White,21200,Sedan,Janesville
Male,2180000,Toyota,Camry,Manual,Black,29000,Hatchback,Scottsdale
Male,13500,Cadillac,Eldorado,Auto,Pale White,17000,Passenger,Austin
Male,1500000,Lexus,ES300,Auto,Pale White,27000,Hatchback,Middletown
Male,1190000,Volvo,S40,Manual,Black,36000,Sedan,Aurora
Female,920000,Lincoln,Navigator,Auto,Black,19000,Sedan,Greenville
Male,320000,Nissan,Frontier,Auto,Pale White,18000,Hatchback,Pasco
Male,690000,Chevrolet,Prizm,Auto,Pale White,15000,Hardtop,Janesville
Male,13500,Toyota,Tacoma,Manual,Pale White,24000,Hardtop,Middletown
Male,905000,Nissan,Sentra,Auto,Black,16000,Passenger,Scottsdale
Male,13500,Ford,Crown Victoria,Auto,Pale White,29000,Passenger,Austin
Female,1180000,Pontiac,Bonneville,Auto,Pale White,19000,Hatchback,Middletown
Male,800000,Mercedes-B,CL500,Manual,Black,22000,SUV,Greenville
Male,1225000,Dodge,Viper,Auto,Pale White,23500,SUV,Pasco
Female,1200000,Mitsubishi,Galant,Auto,Pale White,36000,Passenger,Janesville
Male,13500,Pontiac,Bonneville,Auto,Pale White,19000,Hatchback,Scottsdale
Male,1350000,Toyota,Tacoma,Auto,Pale White,53000,Hardtop,Pasco
Male,426000,Cadillac,Escalade,Auto,Black,28000,Sedan,Austin
Male,1447500,Oldsmobile,Silhouette,Auto,Black,60750,Sedan,Middletown
Male,770000,Chevrolet,Prizm,Auto,Pale White,42000,Hardtop,Janesville
Male,1610000,Cadillac,Eldorado,Manual,Pale White,31000,Passenger,Middletown
Female,1540000,Ford,Contour,Auto,Pale White,62000,Sedan,Janesville
Male,1285000,Mercedes-B,S-Class,Auto,Black,39500,SUV,Scottsdale
Male,1400000,Toyota,Tacoma,Manual,Pale White,24001,Hardtop,Aurora
Male,1200000,Mercedes-B,C-Class,Auto,Pale White,15000,Hatchback,Greenville
Male,1720000,Nissan,Quest,Manual,Black,19000,SUV,Middletown
Female,600000,Volkswagen,Golf,Auto,Pale White,35000,Hardtop,Austin
Male,457000,Hyundai,Sonata,Manual,Pale White,21000,SUV,Aurora
Male,2450000,Nissan,Altima,Auto,Pale White,20000,Hatchback,Aurora
Male,1975000,Ford,Ranger,Manual,Black,18500,Hatchback,Austin
Female,860000,Chevrolet,Corvette,Auto,Pale White,45000,SUV,Pasco
Male,944000,Oldsmobile,Silhouette,Auto,Pale White,12000,Sedan,Greenville
Male,1135000,Chevrolet,Prizm,Manual,Pale White,21500,SUV,Greenville
Female,2210000,Volvo,S40,Manual,Pale White,17000,Sedan,Greenville
Male,316000,Chevrolet,Corvette,Auto,Pale White,46000,SUV,Middletown
Male,1151000,Toyota,Corolla,Auto,Pale White,41100,Passenger,Janesville
Male,1385000,Toyota,RAV4,Manual,Pale White,22500,Hatchback,Pasco
Female,700000,Mercury,Grand Marquis,Auto,Black,9000,SUV,Pasco
Male,1542000,Chevrolet,Cavalier,Manual,Pale White,20200,SUV,Janesville
Female,962000,Nissan,Maxima,Manual,Pale White,59000,Sedan,Scottsdale
Male,1290000,Volvo,S70,Manual,Black,22000,SUV,Austin
Male,2250000,Subaru,Outback,Auto,Pale White,57000,SUV,Pasco
Female,2155000,Chevrolet,Corvette,Auto,Pale White,25500,SUV,Janesville
Male,13500,Acura,RL,Manual,Black,18000,SUV,Scottsdale
Female,13500,Honda,Odyssey,Manual,Pale White,27000,Passenger,Austin
Female,807000,Toyota,RAV4,Manual,Pale White,22000,Hatchback,Aurora
Female,825000,Toyota,Tacoma,Manual,Pale White,82000,Hatchback,Greenville
Female,720000,Plymouth,Prowler,Auto,Pale White,15000,Hatchback,Pasco
Female,850000,Toyota,Camry,Auto,Pale White,31000,Hatchback,Janesville
Male,1130000,Volkswagen,Passat,Auto,Pale White,13000,Hatchback,Scottsdale
Male,13500,Volkswagen,Cabrio,Auto,Pale White,17000,Sedan,Austin
Male,1370000,Chrysler,Sebring Coupe,Auto,Pale White,46000,Sedan,Middletown
Male,1311000,Ford,Windstar,Auto,Pale White,19100,Sedan,Aurora
Female,1280000,Dodge,Durango,Auto,Pale White,10000,SUV,Janesville
Male,2000000,Lincoln,Continental,Manual,Black,42000,Passenger,Scottsdale
Female,13500,Mitsubishi,Diamante,Auto,Black,18000,Hatchback,Austin
Male,650000,Toyota,Celica,Auto,Pale White,25000,SUV,Janesville
Male,1290000,Volkswagen,Jetta,Auto,Black,22000,Passenger,Janesville
Male,13500,Volkswagen,GTI,Manual,Black,25000,SUV,Middletown
Female,911000,Buick,Park Avenue,Manual,Pale White,23000,Hatchback,Scottsdale
Male,1150000,Volkswagen,Jetta,Auto,Pale White,33000,Passenger,Greenville
Male,655000,Oldsmobile,Silhouette,Manual,Pale White,25000,Sedan,Scottsdale
Male,470000,Honda,Accord,Manual,Black,43000,Sedan,Scottsdale
Male,1180000,BMW,328i,Manual,Pale White,21001,Sedan,Austin
Male,1195000,Pontiac,Bonneville,Manual,Pale White,11501,Hatchback,Middletown
Female,1420000,Volkswagen,Passat,Auto,Pale White,32000,Hatchback,Aurora
Male,13500,Hyundai,Sonata,Manual,Black,20000,SUV,Greenville
Male,13500,Volkswagen,Passat,Auto,Black,9000,Hatchback,Pasco
Male,916000,Ford,Crown Victoria,Auto,Pale White,29000,Passenger,Austin
Female,592000,Mercedes-B,C-Class,Manual,Pale White,17000,Hatchback,Middletown
Male,750000,Honda,Passport,Manual,Pale White,27000,Hatchback,Aurora
Male,1900000,Honda,Odyssey,Manual,Pale White,54000,Passenger,Pasco
Female,1410000,Mercury,Cougar,Auto,Black,33000,Hatchback,Janesville
Male,1125000,Honda,Passport,Manual,Pale White,27500,Hardtop,Aurora
Female,580000,Toyota,Celica,Manual,Pale White,14000,SUV,Austin
Male,710000,Chevrolet,Camaro,Auto,Black,41000,Sedan,Middletown
Female,335000,Ford,Taurus,Manual,Pale White,22000,SUV,Aurora
Female,13500,Ford,Focus,Manual,Pale White,24000,SUV,Aurora
Male,1012500,Porsche,Boxter,Manual,Pale White,24250,SUV,Greenville
Female,970000,Oldsmobile,Intrigue,Manual,Pale White,37000,SUV,Pasco
Female,1495000,Lexus,LX470,Manual,Pale White,54500,SUV,Janesville
Male,13500,Chrysler,Sebring Coupe,Auto,Pale White,46000,Sedan,Scottsdale
Male,13500,Dodge,Stratus,Manual,Pale White,37000,Hatchback,Austin
Female,922000,Dodge,Viper,Manual,Black,26000,SUV,Greenville
Female,1130000,Nissan,Pathfinder,Auto,Pale White,21000,Hatchback,Pasco
Female,13500,Toyota,Corolla,Auto,Pale White,41000,Passenger,Janesville
Male,1090000,Nissan,Quest,Manual,Black,12000,SUV,Austin
Male,630100,Dodge,Stratus,Manual,Pale White,25100,Hatchback,Middletown
Male,1350000,Toyota,Camry,Manual,Black,34000,Hatchback,Aurora
Male,1330000,Oldsmobile,Aurora,Manual,Pale White,34000,Passenger,Greenville
Female,591000,Mitsubishi,Montero Sport,Auto,Pale White,39000,Hardtop,Aurora
Male,13500,Mercury,Cougar,Auto,Black,33000,Hatchback,Janesville
Male,1030000,Lincoln,Navigator,Manual,Pale White,33000,Sedan,Janesville
Female,13500,Acura,RL,Manual,Black,18000,SUV,Scottsdale
Female,927000,Honda,Accord,Auto,Pale White,21000,Sedan,Austin
Male,840000,Mitsubishi,Montero Sport,Auto,Pale White,39000,SUV,Middletown
Male,730000,Mercedes-B,M-Class,Manual,Pale White,25000,SUV,Aurora
Male,770000,Nissan,Pathfinder,Auto,Pale White,46000,SUV,Greenville
Female,1125000,Chevrolet,Metro,Manual,Pale White,13500,Passenger,Middletown
Female,995000,Dodge,Dakota,Auto,Pale White,21000,Sedan,Aurora
Male,13500,Hyundai,Sonata,Manual,Pale White,13000,SUV,Greenville
Female,13500,Ford,Taurus,Manual,Black,43000,SUV,Pasco
Male,1100000,Toyota,RAV4,Manual,Pale White,22000,Hatchback,Janesville
Male,13500,Porsche,Boxter,Auto,Black,26000,SUV,Scottsdale
Female,13500,Honda,CR-V,Auto,Pale White,12000,SUV,Scottsdale
Male,910000,Toyota,Corolla,Manual,Pale White,22000,Passenger,Austin
Male,1859000,Nissan,Pathfinder,Auto,Pale White,21900,Hatchback,Janesville
Male,13500,Volkswagen,Beetle,Auto,Pale White,45000,Hatchback,Austin
Male,1200000,Plymouth,Prowler,Manual,Pale White,71000,Hatchback,Austin
Male,13500,Saturn,LW,Manual,Pale White,13000,Hatchback,Middletown
Male,1660000,Mercury,Villager,Manual,Pale White,14000,Passenger,Greenville
Male,13500,Chevrolet,Metro,Manual,Pale White,13000,Passenger,Pasco
Female,13500,Saab,5-Sep,Manual,Pale White,28000,Hatchback,Janesville
Male,905000,Mercedes-B,SLK230,Manual,Pale White,14000,Hatchback,Scottsdale
Male,13500,Nissan,Xterra,Manual,Pale White,31000,Passenger,Austin
Male,1152000,Ford,Crown Victoria,Auto,Pale White,29200,Passenger,Middletown
Male,550000,Chevrolet,Lumina,Manual,Black,42000,Passenger,Scottsdale
Female,13500,Ford,Ranger,Manual,Black,18000,Hardtop,Janesville
Male,936000,Audi,A6,Manual,Pale White,13000,SUV,Middletown
Female,580000,Cadillac,Eldorado,Manual,Black,85000,Passenger,Aurora
Male,1900000,Pontiac,Sunfire,Manual,Pale White,43000,Sedan,Greenville
Male,1605000,Buick,Regal,Manual,Pale White,43500,Passenger,Pasco
Male,13500,Toyota,Tacoma,Manual,Black,36000,SUV,Pasco
Male,603000,Infiniti,I30,Manual,Pale White,16000,SUV,Janesville
Male,700000,Ford,Windstar,Auto,Pale White,31000,Sedan,Scottsdale
Male,600000,Dodge,Avenger,Auto,Black,16000,Passenger,Austin
Male,500000,Saturn,LS,Manual,Pale White,14000,Sedan,Middletown
Female,420000,Dodge,Durango,Auto,Black,24000,SUV,Aurora
Female,500000,Dodge,Ram Pickup,Auto,Pale White,39000,SUV,Greenville
Female,1035000,Acura,TL,Manual,Pale White,14500,Hatchback,Pasco
Female,960000,Volvo,S70,Auto,Pale White,20000,SUV,Janesville
Male,2345000,Nissan,Pathfinder,Manual,Pale White,16500,Hardtop,Scottsdale
Male,512000,Volkswagen,Passat,Auto,Pale White,31000,Hatchback,Middletown
Male,820000,BMW,528i,Manual,Black,21000,SUV,Aurora
Male,1050000,Mitsubishi,Diamante,Auto,Pale White,21000,Hatchback,Greenville
Male,1326000,Toyota,RAV4,Manual,Black,85600,Hatchback,Pasco
Female,1800000,Dodge,Caravan,Auto,Black,23000,Hardtop,Aurora
Male,730000,BMW,323i,Manual,Pale White,21000,Hatchback,Scottsdale
